,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,trending
10,minimap2,lh3/minimap2,ngs-alignment,True,https://github.com/lh3/minimap2,https://github.com/lh3/minimap2,,2017-07-18 15:04:53,2021-05-04 02:52:09,2021-05-01 19:56:33,251.0,65.0,610.0,953,953.0,2021-04-09 17:35:11,2.18,22.0,A versatile pairwise aligner for genomic and spliced nucleotide sequences.,79.0,79.0,28.0,20,1,44850.0,975.0,
11,freebayes,freebayes/freebayes,variant-caller,True,https://github.com/freebayes/freebayes,https://github.com/freebayes/freebayes,MIT,2010-10-13 21:34:33,2021-03-15 06:25:58,2021-03-15 06:25:57,214.0,13.0,572.0,535,1209.0,2021-02-10 09:23:11,1.3.5,10.0,Bayesian haplotype-based genetic polymorphism discovery and genotyping.,,,44.0,20,1,5398.0,81.0,
12,bioconda-recipes,bioconda/bioconda-recipes,others,True,https://github.com/bioconda/bioconda-recipes,https://github.com/bioconda/bioconda-recipes,,2015-09-12 20:33:30,2021-05-06 18:11:57,2021-05-06 13:20:59,1790.0,260.0,1125.0,1260,32421.0,,,,Conda recipes for the bioconda channel.,,,1396.0,19,1,,,
13,gatk,broadinstitute/gatk,variant-caller,True,https://github.com/broadinstitute/gatk,https://github.com/broadinstitute/gatk,,2014-12-02 20:50:36,2021-05-06 17:46:39,2021-05-05 16:01:45,404.0,980.0,3082.0,1033,4317.0,2021-02-19 21:26:49,4.2.0.0,39.0,Official code repository for GATK versions 4 and up.,,,106.0,19,2,344251.0,7324.0,
14,cromwell,broadinstitute/cromwell,workflow,True,https://github.com/broadinstitute/cromwell,https://github.com/broadinstitute/cromwell,,2015-04-17 19:39:36,2021-05-06 17:27:48,2021-05-06 17:27:43,224.0,689.0,1976.0,679,5059.0,2021-05-06 17:35:43,62,65.0,Scientific workflow engine designed for simplicity & scalability. Trivially transition between one off use cases to..,,,118.0,19,3,335161.0,4720.0,
15,htslib,samtools/htslib,sam-bam-cram,True,https://github.com/samtools/htslib,https://github.com/samtools/htslib,,2012-05-15 19:34:48,2021-05-06 14:35:52,2021-05-06 12:30:19,343.0,123.0,403.0,539,2737.0,2021-03-17 16:20:46,1.12,16.0,C library for high-throughput sequencing data formats.,,,72.0,19,2,387114.0,5161.0,
16,diamond,bbuchfink/diamond,sequence-alignment,True,https://github.com/bbuchfink/diamond,https://github.com/bbuchfink/diamond,GPL-3.0,2015-03-10 23:19:00,2021-05-05 15:45:59,2021-05-05 15:45:59,118.0,43.0,365.0,519,1892.0,2021-04-12 08:37:25,2.0.9,96.0,Accelerated BLAST compatible local sequence aligner.,,,17.0,19,1,243742.0,3293.0,
17,canu,marbl/canu,assembler,True,https://github.com/marbl/canu,https://github.com/marbl/canu,,2015-08-21 03:10:42,2021-05-04 19:33:39,2021-05-04 19:33:39,153.0,24.0,1874.0,463,10221.0,2020-10-19 07:12:44,2.1.1,14.0,A single molecule sequence assembler for genomes large and small.,,,49.0,19,1,31139.0,479.0,
18,salmon,COMBINE-lab/salmon,others,True,https://github.com/COMBINE-lab/salmon,https://github.com/COMBINE-lab/salmon,GPL-3.0,2015-03-19 22:37:41,2021-05-04 20:02:35,2021-04-23 00:58:32,125.0,231.0,347.0,463,1707.0,2020-11-26 13:42:02,1.4.0,38.0,Highly-accurate & wicked fast transcript-level quantification from RNA-seq reads using selective alignment.,,,42.0,19,1,80404.0,1116.0,-1.0
19,bcftools,samtools/bcftools,vcf-bcf,True,https://github.com/samtools/bcftools,https://github.com/samtools/bcftools,,2013-07-12 12:55:22,2021-04-27 14:34:31,2021-04-27 14:34:21,168.0,206.0,1054.0,375,2388.0,2021-03-17 16:21:39,1.12,15.0,This is the official development repository for BCFtools. See installation instructions and other documentation here..,,,46.0,19,1,304928.0,4065.0,
20,cutadapt,marcelm/cutadapt,qc-fastq,True,https://github.com/marcelm/cutadapt,https://github.com/marcelm/cutadapt,MIT,2012-06-06 20:26:25,2021-04-29 10:15:54,2021-04-27 19:20:25,100.0,19.0,462.0,349,,2021-03-30 13:55:06,3.4,2.0,Cutadapt removes adapter sequences from sequencing reads.,198.0,198.0,26.0,19,1,181.0,90.0,-1.0
21,delly,dellytools/delly,structural-variation,True,https://github.com/dellytools/delly,https://github.com/dellytools/delly,BSD-3-Clause,2013-11-15 08:51:49,2021-03-06 11:16:53,2021-03-06 11:16:47,101.0,10.0,212.0,252,1192.0,2021-01-05 10:34:41,0.8.7,34.0,DELLY2: Structural variant discovery by integrated paired-end and split-read analysis.,,,9.0,19,1,17718.0,196.0,
22,pybedtools,daler/pybedtools,bed-gtf-gff,True,https://github.com/daler/pybedtools,https://github.com/daler/pybedtools,,2010-05-14 21:09:33,2021-03-14 22:24:26,2021-03-14 22:24:23,79.0,15.0,231.0,221,1737.0,2021-03-14 21:07:22,0.8.2,1.0,Python wrapper -- and more -- for Aaron Quinlan's BEDTools (bioinformatics tools).,667.0,667.0,34.0,19,2,,,
23,mhcflurry,openvax/mhcflurry,mhc-hla,True,https://github.com/openvax/mhcflurry,https://github.com/openvax/mhcflurry,Apache-2.0,2015-06-29 02:29:54,2021-03-16 16:59:05,2021-01-07 20:47:05,33.0,3.0,103.0,113,1607.0,2020-07-20 14:55:52,2.0.1,23.0,Peptide-MHC I binding affinity prediction.,18.0,18.0,12.0,19,1,45287.0,808.0,
24,STAR,alexdobin/STAR,ngs-alignment,True,https://github.com/alexdobin/STAR,https://github.com/alexdobin/STAR,MIT,2014-03-15 15:47:05,2021-05-05 12:01:59,2021-05-05 12:01:50,306.0,310.0,823.0,1071,1100.0,2021-05-05 14:12:19,2.7.9a,43.0,RNA-seq aligner.,,,38.0,18,1,350.0,4.0,1.0
25,bwa,lh3/bwa,ngs-alignment,True,https://github.com/lh3/bwa,https://github.com/lh3/bwa,GPL-3.0,2011-01-14 01:36:33,2021-04-22 21:35:46,2021-04-22 21:35:37,447.0,130.0,85.0,986,936.0,2017-10-23 17:12:23,0.7.17,4.0,Burrow-Wheeler Aligner for short-read alignment (see minimap2 for long-read alignment).,,,31.0,18,1,52058.0,826.0,
26,seqkit,shenwei356/seqkit,fasta-fastq,True,https://github.com/shenwei356/seqkit,https://github.com/shenwei356/seqkit,MIT,2016-02-28 10:04:40,2021-04-16 05:41:11,2021-04-16 05:38:57,93.0,6.0,168.0,629,581.0,2021-04-16 05:41:11,0.16.0,73.0,A cross-platform and ultrafast toolkit for FASTA/Q file manipulation in Golang.,,,5.0,18,1,45642.0,736.0,
27,csvtk,shenwei356/csvtk,others,True,https://github.com/shenwei356/csvtk,https://github.com/shenwei356/csvtk,MIT,2016-04-03 14:31:16,2021-04-29 01:30:11,2021-04-29 01:29:52,59.0,10.0,120.0,590,324.0,2021-04-16 05:31:25,0.23.0,56.0,"A cross-platform, efficient and practical CSV/TSV toolkit in Golang.",,,8.0,18,2,10926.0,179.0,
28,vcflib,vcflib/vcflib,vcf-bcf,True,https://github.com/vcflib/vcflib,https://github.com/vcflib/vcflib,MIT,2010-09-22 23:25:59,2021-02-17 08:05:54,2021-02-17 08:05:20,182.0,19.0,198.0,420,971.0,2021-01-04 16:42:33,1.0.2,5.0,C++ library and cmdline tools for parsing and manipulating VCF files.,,,67.0,18,2,1496.0,23.0,-1.0
29,sambamba,biod/sambamba,sam-bam-cram,True,https://github.com/biod/sambamba,https://github.com/biod/sambamba,GPL-2.0,2012-04-28 13:46:53,2021-03-11 10:31:33,2021-03-11 10:31:33,76.0,15.0,407.0,418,1091.0,2020-11-30 15:09:55,0.8.0,40.0,Tools for working with SAM/BAM data.,,,23.0,18,2,106870.0,1174.0,-1.0
30,bowtie2,BenLangmead/bowtie2,ngs-alignment,True,https://github.com/BenLangmead/bowtie2,https://github.com/BenLangmead/bowtie2,GPL-3.0,2012-12-20 19:25:11,2021-04-27 20:22:25,2021-03-12 13:51:40,123.0,89.0,204.0,373,2311.0,2020-10-06 04:08:14,2.4.2,21.0,A fast and sensitive gapped read aligner.,,,32.0,18,1,38586.0,551.0,
31,UMI-tools,CGATOxford/UMI-tools,others,True,https://github.com/CGATOxford/UMI-tools,https://github.com/CGATOxford/UMI-tools,MIT,2015-03-06 15:10:20,2021-04-28 10:52:53,2021-02-05 17:04:30,169.0,40.0,293.0,322,852.0,2020-11-18 19:58:45,1.1.1,29.0,Tools for handling Unique Molecular Identifiers in NGS data sets.,,,29.0,18,2,3407.0,55.0,
32,cyvcf2,brentp/cyvcf2,vcf-bcf,True,https://github.com/brentp/cyvcf2,https://github.com/brentp/cyvcf2,MIT,2015-08-12 14:30:29,2021-04-29 13:42:23,2021-04-29 13:42:23,49.0,33.0,113.0,258,398.0,,,,cython + htslib == fast VCF and BCF processing.,196.0,196.0,30.0,18,2,,,
33,abyss,bcgsc/abyss,assembler,True,https://github.com/bcgsc/abyss,https://github.com/bcgsc/abyss,,2012-03-19 23:13:39,2021-05-05 20:12:32,2021-04-21 23:47:04,75.0,8.0,286.0,223,5496.0,2021-04-21 23:57:21,2.3.1,26.0,Assemble large genomes using short reads.,,,48.0,18,2,26758.0,284.0,
34,pysam,pysam-developers/pysam,sam-bam-cram,True,https://github.com/pysam-developers/pysam,https://github.com/pysam-developers/pysam,MIT,2014-02-05 20:38:10,2021-04-28 22:14:57,2021-04-28 22:08:30,212.0,194.0,513.0,503,1910.0,2020-06-16 23:04:57,0.16.0.1,28.0,Pysam is a Python module for reading and manipulating SAM/BAM/VCF/BCF files. It's a lightweight wrapper of the htslib..,,,98.0,17,2,,,
35,kallisto,pachterlab/kallisto,quantification,True,https://github.com/pachterlab/kallisto,https://github.com/pachterlab/kallisto,BSD-2-Clause,2014-11-13 00:27:48,2021-05-01 06:01:55,2020-02-16 22:27:33,131.0,109.0,130.0,415,577.0,2020-02-12 23:44:02,0.46.2,15.0,Near-optimal RNA-Seq quantification.,,,11.0,17,1,70284.0,976.0,
36,mosdepth,brentp/mosdepth,sam-bam-cram,True,https://github.com/brentp/mosdepth,https://github.com/brentp/mosdepth,MIT,2017-08-24 16:32:11,2020-11-20 16:00:42,2020-11-20 16:00:16,68.0,24.0,97.0,385,198.0,2020-09-29 21:44:09,0.3.1,20.0,"fast BAM/CRAM depth calculation for WGS, exome, or targeted sequencing.",,,14.0,17,2,75403.0,1675.0,
37,pyfaidx,mdshw5/pyfaidx,fasta-fastq,True,https://github.com/mdshw5/pyfaidx,https://github.com/mdshw5/pyfaidx,,2013-09-12 19:02:32,2021-02-28 13:38:33,2021-02-28 13:37:24,52.0,13.0,111.0,310,672.0,2021-02-28 01:32:07,0.5.9.5,61.0,Efficient pythonic random access to fasta subsequences.,457.0,457.0,26.0,17,2,,,
38,ensembl-vep,Ensembl/ensembl-vep,variant-annotation,True,https://github.com/Ensembl/ensembl-vep,https://github.com/Ensembl/ensembl-vep,Apache-2.0,2016-04-05 12:08:24,2021-05-05 16:56:45,2021-05-04 11:37:03,97.0,86.0,500.0,265,1648.0,2021-05-05 16:59:13,release/104.0,50.0,The Ensembl Variant Effect Predictor predicts the functional effects of genomic variants.,,,22.0,17,1,,,
39,vcfanno,brentp/vcfanno,vcf-bcf,True,https://github.com/brentp/vcfanno,https://github.com/brentp/vcfanno,MIT,2015-04-29 16:00:43,2021-04-25 05:25:11,2021-04-25 05:25:06,46.0,29.0,97.0,262,364.0,2019-07-30 17:07:44,0.3.2,30.0,annotate a VCF with other VCFs/BEDs/tabixed files.,,,9.0,17,3,22026.0,301.0,
40,bedops,bedops/bedops,bed-gtf-gff,True,https://github.com/bedops/bedops,https://github.com/bedops/bedops,GPL-2.0,2013-09-18 19:43:30,2021-04-25 21:34:30,2020-04-06 20:55:21,52.0,16.0,227.0,220,1872.0,2020-04-07 07:26:14,2.4.39,41.0,BEDOPS: high-performance genomic feature operations.,,,19.0,17,2,96307.0,1058.0,
41,stringtie,gpertea/stringtie,quantification,True,https://github.com/gpertea/stringtie,https://github.com/gpertea/stringtie,MIT,2014-10-13 17:59:11,2021-04-18 12:10:09,2021-03-09 22:49:41,42.0,146.0,176.0,201,325.0,2021-03-09 23:07:19,2.1.5,13.0,Transcript assembly and quantification for RNA-Seq.,,,9.0,17,1,1695.0,44.0,
42,gffread,gpertea/gffread,bed-gtf-gff,True,https://github.com/gpertea/gffread,https://github.com/gpertea/gffread,MIT,2015-12-17 21:56:18,2021-03-26 01:46:15,2021-03-26 01:46:08,25.0,26.0,42.0,187,166.0,2021-02-06 01:20:13,0.12.6,7.0,"GFF/GTF utility providing format conversions, region filtering, FASTA sequence extraction and more.",,,4.0,17,2,912.0,60.0,
43,hifiasm,chhylp123/hifiasm,assembler,True,https://github.com/chhylp123/hifiasm,https://github.com/chhylp123/hifiasm,MIT,2019-05-09 19:34:58,2021-05-03 13:40:35,2021-05-02 18:16:36,21.0,31.0,70.0,152,393.0,2021-05-03 13:40:35,0.15.2,20.0,Hifiasm: a haplotype-resolved assembler for accurate Hifi reads.,,,3.0,17,2,473.0,29.0,
44,fastp,OpenGene/fastp,qc-fastq,True,https://github.com/OpenGene/fastp,https://github.com/OpenGene/fastp,MIT,2017-10-31 04:36:58,2021-04-25 23:30:05,2020-10-14 09:40:00,210.0,162.0,149.0,988,337.0,2020-04-08 08:09:09,0.20.1,35.0,An ultra-fast all-in-one FASTQ preprocessor (QC/adapters/trimming/filtering/splitting/merging...).,,,17.0,16,2,,,
45,vsearch,torognes/vsearch,others,True,https://github.com/torognes/vsearch,https://github.com/torognes/vsearch,,2014-05-16 07:36:59,2021-05-04 14:23:25,2021-05-04 14:20:06,103.0,52.0,365.0,455,760.0,2021-03-29 16:15:22,2.17.0,100.0,Versatile open-source tool for microbiome analysis.,,,14.0,16,2,42502.0,559.0,
46,containers,BioContainers/containers,others,True,https://github.com/BioContainers/containers,https://github.com/BioContainers/containers,Apache-2.0,2015-09-20 15:13:27,2021-03-29 20:35:04,2021-03-29 20:35:04,165.0,30.0,184.0,444,2205.0,2019-01-31 16:59:45,Crux,1.0,Bioinformatics containers.,,,51.0,16,2,18.0,0.0,
47,igv,igvteam/igv,visualization,True,https://github.com/igvteam/igv,https://github.com/igvteam/igv,MIT,2012-02-11 17:30:30,2021-05-06 06:15:07,2021-05-04 03:41:09,201.0,67.0,699.0,429,6428.0,,,,"Integrative Genomics Viewer. Fast, efficient, scalable visualization tool for genomics data and annotations.",,,53.0,16,2,,,
48,bwa-mem2,bwa-mem2/bwa-mem2,ngs-alignment,True,https://github.com/bwa-mem2/bwa-mem2,https://github.com/bwa-mem2/bwa-mem2,,2019-02-26 15:00:44,2021-05-05 09:43:06,2021-03-26 13:53:54,50.0,21.0,94.0,428,228.0,2021-03-17 06:13:06,2.2.1,6.0,The next version of bwa-mem.,,,10.0,16,2,6460.0,269.0,
49,hisat2,DaehwanKimLab/hisat2,ngs-alignment,True,https://github.com/DaehwanKimLab/hisat2,https://github.com/DaehwanKimLab/hisat2,GPL-3.0,2015-06-18 19:40:34,2021-04-30 15:14:04,2021-04-30 15:13:15,79.0,140.0,108.0,295,1460.0,2020-07-24 20:08:11,2.2.1,4.0,Graph-based alignment (Hierarchical Graph FM index).,,,26.0,16,2,,,
50,samplot,ryanlayer/samplot,visualization,True,https://github.com/ryanlayer/samplot,https://github.com/ryanlayer/samplot,MIT,2017-08-14 20:45:53,2021-05-05 17:42:08,2021-05-05 17:27:00,36.0,20.0,52.0,291,435.0,2021-05-05 17:42:08,1.2.0,3.0,Plot structural variant signals from many BAMs and CRAMs.,1.0,1.0,9.0,16,2,,,
51,Jellyfish,gmarcais/Jellyfish,kmer,True,https://github.com/gmarcais/Jellyfish,https://github.com/gmarcais/Jellyfish,,2013-12-02 16:37:55,2021-03-30 15:07:51,2020-05-05 18:35:47,118.0,71.0,83.0,290,630.0,2019-07-13 12:25:04,2.3.0,11.0,A fast multi-threaded k-mer counter.,,,12.0,16,1,86864.0,1189.0,
52,manta,Illumina/manta,structural-variation,True,https://github.com/Illumina/manta,https://github.com/Illumina/manta,,2013-05-30 19:33:47,2019-07-17 18:40:58,2019-07-17 18:40:08,89.0,89.0,167.0,274,2631.0,2019-07-17 18:30:16,1.5.1,54.0,Structural variant and indel caller for mapped sequencing data.,,,22.0,16,1,23967.0,263.0,
53,strelka,Illumina/strelka,variant-caller,True,https://github.com/Illumina/strelka,https://github.com/Illumina/strelka,,2016-10-17 23:30:24,2020-10-16 22:22:33,2019-02-06 00:41:27,73.0,86.0,104.0,249,3300.0,2018-11-08 00:50:05,2.9.10,18.0,Strelka2 germline and somatic small variant caller.,,,28.0,16,2,16748.0,304.0,
54,lumpy-sv,arq5x/lumpy-sv,structural-variation,True,https://github.com/arq5x/lumpy-sv,https://github.com/arq5x/lumpy-sv,MIT,2012-10-08 09:09:26,2020-09-14 18:57:01,2019-04-16 17:13:49,102.0,155.0,136.0,220,572.0,2020-09-14 18:57:01,0.3.1,20.0,lumpy: a general probabilistic framework for structural variant discovery.,,,21.0,16,1,5841.0,67.0,
55,sequenceserver,wurmlab/sequenceserver,sequence-alignment,True,https://github.com/wurmlab/sequenceserver,https://github.com/wurmlab/sequenceserver,,2010-10-01 06:19:41,2021-04-26 08:13:05,2021-04-24 10:13:29,92.0,51.0,276.0,203,1876.0,2020-05-07 15:21:12,1.0.14,35.0,Intuitive local web frontend for the BLAST bioinformatics tool.,3.0,3.0,30.0,16,2,,,
56,bpipe,ssadedin/bpipe,workflow,True,https://github.com/ssadedin/bpipe,https://github.com/ssadedin/bpipe,,2014-10-20 04:31:15,2021-05-06 08:19:53,2021-05-06 08:19:18,48.0,144.0,100.0,189,2058.0,2021-01-11 22:26:28,0.9.10,14.0,Bpipe - a tool for running and managing bioinformatics pipelines.,,,17.0,16,3,10719.0,135.0,
57,FastANI,ParBLiSS/FastANI,others,True,https://github.com/ParBLiSS/FastANI,https://github.com/ParBLiSS/FastANI,Apache-2.0,2017-07-25 21:21:42,2021-05-02 10:33:45,2021-05-02 10:33:45,31.0,26.0,52.0,170,356.0,2021-04-29 05:44:08,1.33,7.0,Fast Whole-Genome Similarity (ANI) Estimation.,,,10.0,16,2,3692.0,87.0,
58,Augustus,Gaius-Augustus/Augustus,others,True,https://github.com/Gaius-Augustus/Augustus,https://github.com/Gaius-Augustus/Augustus,,2018-05-24 17:34:26,2021-04-21 10:53:10,2021-04-21 10:40:36,67.0,104.0,85.0,129,2467.0,2020-12-11 16:09:15,3.4.0,3.0,Genome annotation with AUGUSTUS.,,,32.0,16,2,2989.0,96.0,
59,weblogo,WebLogo/weblogo,visualization,True,https://github.com/WebLogo/weblogo,https://github.com/WebLogo/weblogo,,2015-07-01 22:23:06,2021-05-04 15:28:21,2021-05-04 15:28:14,28.0,8.0,72.0,96,418.0,2021-01-08 08:35:45,3.7.8,4.0,WebLogo 3: Sequence Logos redrawn.,88.0,88.0,15.0,16,2,,,
60,MACS,macs3-project/MACS,others,True,https://github.com/macs3-project/MACS,https://github.com/macs3-project/MACS,BSD-3-Clause,2011-03-02 19:40:25,2021-03-31 14:23:24,2021-03-11 14:22:14,215.0,196.0,188.0,483,1086.0,2020-04-12 00:06:32,2.2.7.1,19.0,MACS -- Model-based Analysis of ChIP-Seq.,2.0,2.0,18.0,15,2,,,
61,pyGenomeTracks,deeptools/pyGenomeTracks,visualization,True,https://github.com/deeptools/pyGenomeTracks,https://github.com/deeptools/pyGenomeTracks,GPL-3.0,2017-10-27 14:23:59,2021-04-26 19:44:39,2021-04-26 19:44:39,76.0,13.0,123.0,454,1284.0,2020-11-12 15:01:17,3.6,15.0,python module to plot beautiful and highly customizable genome browser tracks.,6.0,6.0,11.0,15,3,,,
62,vcftools,vcftools/vcftools,vcf-bcf,True,https://github.com/vcftools/vcftools,https://github.com/vcftools/vcftools,LGPL-3.0,2015-06-25 13:48:11,2020-10-27 02:37:49,2020-03-10 15:19:10,127.0,75.0,74.0,338,130.0,2018-08-02 17:57:59,0.1.16,4.0,"A set of tools written in Perl and C++ for working with VCF files, such as those generated by the 1000 Genomes Project.",,,19.0,15,3,90257.0,1308.0,
63,cnvkit,etal/cnvkit,cnv,True,https://github.com/etal/cnvkit,https://github.com/etal/cnvkit,,2014-07-07 20:12:27,2021-05-05 22:39:23,2021-05-05 22:39:19,110.0,161.0,377.0,288,1553.0,2020-06-05 13:57:54,0.9.7,38.0,Copy number variant detection from targeted DNA sequencing.,,,24.0,15,1,,,
64,DnaFeaturesViewer,Edinburgh-Genome-Foundry/DnaFeaturesViewer,visualization,True,https://github.com/Edinburgh-Genome-Foundry/DnaFeaturesViewer,https://github.com/Edinburgh-Genome-Foundry/DnaFeaturesViewer,MIT,2016-09-20 16:57:39,2021-03-12 14:49:17,2020-09-20 18:38:58,45.0,25.0,24.0,281,156.0,2020-09-20 18:40:46,3.0.3,2.0,Python library to plot DNA sequence features (e.g. from Genbank files).,,,5.0,15,3,,,
65,ngmlr,philres/ngmlr,ngs-alignment,True,https://github.com/philres/ngmlr,https://github.com/philres/ngmlr,MIT,2016-09-01 13:11:53,2020-09-24 05:59:17,2018-09-11 18:25:38,33.0,36.0,52.0,219,664.0,2018-06-25 08:30:20,0.2.7,10.0,NGMLR is a long-read mapper designed to align PacBio or Oxford Nanopore (standard and ultra-long) to a reference..,,,13.0,15,3,4070.0,72.0,
66,gffutils,daler/gffutils,bed-gtf-gff,True,https://github.com/daler/gffutils,https://github.com/daler/gffutils,MIT,2011-10-12 13:48:14,2021-01-26 14:20:44,2019-12-30 02:40:10,59.0,29.0,85.0,165,613.0,,,,GFF and GTF file manipulation and interconversion.,178.0,178.0,15.0,15,3,,,
67,kaiju,bioinformatics-centre/kaiju,others,True,https://github.com/bioinformatics-centre/kaiju,https://github.com/bioinformatics-centre/kaiju,GPL-3.0,2015-11-16 15:33:25,2021-04-27 20:11:14,2021-04-27 20:11:13,45.0,10.0,158.0,153,201.0,2020-11-04 11:59:24,1.7.4,22.0,Fast taxonomic classification of metagenomic sequencing reads using a protein reference database.,,,10.0,15,2,1427.0,21.0,
68,smoove,brentp/smoove,structural-variation,True,https://github.com/brentp/smoove,https://github.com/brentp/smoove,Apache-2.0,2018-01-27 03:03:11,2021-04-12 06:59:38,2021-04-12 06:59:27,12.0,47.0,93.0,151,165.0,2020-10-20 17:06:58,0.2.6,17.0,"structural variant calling and genotyping with existing tools, but, smoothly.",,,5.0,15,2,3097.0,81.0,
69,Liftoff,agshumate/Liftoff,liftover,True,https://github.com/agshumate/Liftoff,https://github.com/agshumate/Liftoff,GPL-3.0,2019-11-05 18:33:50,2021-04-08 20:24:23,2021-04-08 14:24:45,21.0,7.0,54.0,143,298.0,2021-04-08 20:24:23,1.6.1,14.0,An accurate GFF3/GTF lift over pipeline.,3.0,3.0,8.0,15,1,,,1.0
70,somaticseq,bioinform/somaticseq,variant-caller,True,https://github.com/bioinform/somaticseq,https://github.com/bioinform/somaticseq,BSD-2-Clause,2015-04-09 05:59:30,2021-03-26 03:36:48,2021-02-01 19:17:40,43.0,1.0,57.0,124,1581.0,2020-09-02 06:16:20,3.6.2,51.0,An ensemble approach to accurately detect somatic mutations using SomaticSeq.,,,17.0,15,2,,,
71,primer3-py,libnano/primer3-py,primer-designing,True,https://github.com/libnano/primer3-py,https://github.com/libnano/primer3-py,GPL-2.0,2014-03-03 21:15:52,2021-01-29 19:56:35,2020-05-10 15:05:32,26.0,8.0,26.0,85,300.0,2020-05-15 23:41:47,0.6.1,21.0,Simple oligo analysis and primer design.,88.0,88.0,4.0,15,1,,,
